1	 1:2	 2:13	 3:3250	 4:76
0	 1:23	 2:3	 3:750	 4:62
0	 1:11	 2:3	 3:750	 4:15
0	 1:2	 2:4	 3:1000	 4:14
1	 1:4	 2:11	 3:2750	 4:64
1	 1:2	 2:11	 3:2750	 4:46
1	 1:2	 2:6	 3:1500	 4:22
0	 1:11	 2:1	 3:250	 4:11
0	 1:14	 2:3	 3:750	 4:21
0	 1:4	 2:1	 3:250	 4:4
0	 1:4	 2:23	 3:5750	 4:58
0	 1:4	 2:5	 3:1250	 4:28
0	 1:4	 2:6	 3:1500	 4:47
0	 1:5	 2:14	 3:3500	 4:86
1	 1:14	 2:4	 3:1000	 4:23
0	 1:11	 2:1	 3:250	 4:11
0	 1:14	 2:8	 3:2000	 4:46
0	 1:2	 2:7	 3:1750	 4:77
0	 1:11	 2:4	 3:1000	 4:59
0	 1:7	 2:5	 3:1250	 4:35
0	 1:2	 2:5	 3:1250	 4:26
1	 1:1	 2:16	 3:4000	 4:35
0	 1:14	 2:2	 3:500	 4:14
0	 1:2	 2:7	 3:1750	 4:76
0	 1:14	 2:2	 3:500	 4:14
0	 1:23	 2:2	 3:500	 4:28
1	 1:11	 2:3	 3:750	 4:40
0	 1:14	 2:2	 3:500	 4:35
0	 1:4	 2:9	 3:2250	 4:40
0	 1:23	 2:2	 3:500	 4:23
0	 1:11	 2:2	 3:500	 4:14
1	 1:11	 2:1	 3:250	 4:11
1	 1:2	 2:4	 3:1000	 4:14
0	 1:16	 2:5	 3:1250	 4:60
1	 1:4	 2:4	 3:1000	 4:34
0	 1:23	 2:6	 3:1500	 4:70
1	 1:9	 2:5	 3:1250	 4:51
1	 1:4	 2:2	 3:500	 4:4
0	 1:14	 2:1	 3:250	 4:14
0	 1:4	 2:14	 3:3500	 4:86
0	 1:16	 2:4	 3:1000	 4:45
0	 1:14	 2:6	 3:1500	 4:51
0	 1:4	 2:14	 3:3500	 4:40
0	 1:23	 2:2	 3:500	 4:26
0	 1:23	 2:1	 3:250	 4:23
1	 1:4	 2:2	 3:500	 4:4
0	 1:9	 2:1	 3:250	 4:9
0	 1:11	 2:2	 3:500	 4:11
1	 1:4	 2:5	 3:1250	 4:23
0	 1:23	 2:15	 3:3750	 4:57
0	 1:2	 2:4	 3:1000	 4:23
0	 1:16	 2:1	 3:250	 4:16
0	 1:15	 2:16	 3:4000	 4:82
0	 1:2	 2:4	 3:1000	 4:70
0	 1:14	 2:1	 3:250	 4:14
0	 1:0	 2:8	 3:2000	 4:59
0	 1:21	 2:1	 3:250	 4:21
1	 1:2	 2:11	 3:2750	 4:41
0	 1:16	 2:6	 3:1500	 4:50
0	 1:23	 2:3	 3:750	 4:33
1	 1:4	 2:8	 3:2000	 4:46
0	 1:12	 2:13	 3:3250	 4:59
0	 1:2	 2:1	 3:250	 4:2
1	 1:14	 2:2	 3:500	 4:21
0	 1:4	 2:2	 3:500	 4:46
1	 1:2	 2:6	 3:1500	 4:16
0	 1:4	 2:1	 3:250	 4:4
1	 1:2	 2:6	 3:1500	 4:15
1	 1:14	 2:2	 3:500	 4:14
0	 1:21	 2:5	 3:1250	 4:60
0	 1:21	 2:13	 3:3250	 4:57
1	 1:2	 2:2	 3:500	 4:11
0	 1:11	 2:7	 3:1750	 4:75
0	 1:23	 2:3	 3:750	 4:35
0	 1:2	 2:2	 3:500	 4:4
0	 1:14	 2:4	 3:1000	 4:30
1	 1:4	 2:9	 3:2250	 4:38
0	 1:25	 2:6	 3:1500	 4:50
1	 1:4	 2:1	 3:250	 4:4
0	 1:4	 2:9	 3:2250	 4:28
0	 1:9	 2:9	 3:2250	 4:54
0	 1:4	 2:2	 3:500	 4:14
0	 1:11	 2:6	 3:1500	 4:26
0	 1:14	 2:3	 3:750	 4:52
1	 1:2	 2:34	 3:8500	 4:77
0	 1:4	 2:2	 3:500	 4:9
1	 1:2	 2:6	 3:1500	 4:28
0	 1:1	 2:14	 3:3500	 4:95
0	 1:4	 2:7	 3:1750	 4:52
0	 1:14	 2:1	 3:250	 4:14
0	 1:21	 2:1	 3:250	 4:21
0	 1:14	 2:1	 3:250	 4:14
1	 1:2	 2:7	 3:1750	 4:32
0	 1:1	 2:9	 3:2250	 4:51
1	 1:4	 2:1	 3:250	 4:4
1	 1:11	 2:5	 3:1250	 4:37
1	 1:9	 2:8	 3:2000	 4:38
0	 1:4	 2:7	 3:1750	 4:82
0	 1:2	 2:1	 3:250	 4:2
0	 1:21	 2:1	 3:250	 4:21
1	 1:11	 2:8	 3:2000	 4:52
0	 1:2	 2:9	 3:2250	 4:75
0	 1:14	 2:1	 3:250	 4:14
0	 1:2	 2:2	 3:500	 4:16
0	 1:21	 2:3	 3:750	 4:64
0	 1:16	 2:4	 3:1000	 4:28
0	 1:4	 2:5	 3:1250	 4:58
0	 1:14	 2:1	 3:250	 4:14
0	 1:21	 2:3	 3:750	 4:35
1	 1:4	 2:3	 3:750	 4:25
0	 1:23	 2:2	 3:500	 4:26
0	 1:4	 2:2	 3:500	 4:4
0	 1:7	 2:14	 3:3500	 4:48
0	 1:11	 2:2	 3:500	 4:26
0	 1:4	 2:1	 3:250	 4:4
0	 1:23	 2:2	 3:500	 4:87
0	 1:3	 2:8	 3:2000	 4:50
0	 1:23	 2:3	 3:750	 4:89
0	 1:18	 2:8	 3:2000	 4:95
0	 1:14	 2:6	 3:1500	 4:34
0	 1:11	 2:4	 3:1000	 4:27
0	 1:4	 2:6	 3:1500	 4:14
0	 1:1	 2:7	 3:1750	 4:57
1	 1:4	 2:5	 3:1250	 4:16
1	 1:14	 2:8	 3:2000	 4:50
0	 1:14	 2:2	 3:500	 4:16
0	 1:11	 2:2	 3:500	 4:16
0	 1:38	 2:1	 3:250	 4:38
0	 1:23	 2:3	 3:750	 4:48
0	 1:4	 2:1	 3:250	 4:4
0	 1:16	 2:4	 3:1000	 4:23
1	 1:14	 2:4	 3:1000	 4:22
0	 1:16	 2:2	 3:500	 4:26
0	 1:14	 2:1	 3:250	 4:14
0	 1:16	 2:1	 3:250	 4:16
0	 1:21	 2:3	 3:750	 4:38
0	 1:2	 2:1	 3:250	 4:2
1	 1:16	 2:6	 3:1500	 4:35
0	 1:11	 2:6	 3:1500	 4:27
0	 1:11	 2:2	 3:500	 4:11
1	 1:16	 2:5	 3:1250	 4:40
0	 1:2	 2:6	 3:1500	 4:26
0	 1:11	 2:2	 3:500	 4:17
0	 1:10	 2:4	 3:1000	 4:16
0	 1:2	 2:2	 3:500	 4:4
0	 1:14	 2:2	 3:500	 4:14
0	 1:14	 2:3	 3:750	 4:26
0	 1:2	 2:1	 3:250	 4:2
0	 1:74	 2:1	 3:250	 4:74
0	 1:4	 2:3	 3:750	 4:71
0	 1:16	 2:3	 3:750	 4:21
1	 1:2	 2:4	 3:1000	 4:16
1	 1:21	 2:2	 3:500	 4:21
0	 1:2	 2:4	 3:1000	 4:16
0	 1:2	 2:1	 3:250	 4:2
0	 1:2	 2:1	 3:250	 4:2
1	 1:23	 2:1	 3:250	 4:23
0	 1:4	 2:2	 3:500	 4:4
1	 1:2	 2:2	 3:500	 4:11
0	 1:21	 2:1	 3:250	 4:21
1	 1:4	 2:8	 3:2000	 4:26
0	 1:11	 2:8	 3:2000	 4:46
1	 1:8	 2:8	 3:2000	 4:52
0	 1:14	 2:5	 3:1250	 4:64
0	 1:4	 2:2	 3:500	 4:13
1	 1:2	 2:43	 3:10750	 4:86
0	 1:4	 2:8	 3:2000	 4:21
0	 1:2	 2:7	 3:1750	 4:77
0	 1:2	 2:2	 3:500	 4:23
1	 1:2	 2:11	 3:2750	 4:40
1	 1:1	 2:10	 3:2500	 4:43
1	 1:2	 2:5	 3:1250	 4:16
1	 1:4	 2:16	 3:4000	 4:38
0	 1:2	 2:5	 3:1250	 4:16
0	 1:35	 2:3	 3:750	 4:64
0	 1:4	 2:2	 3:500	 4:41
1	 1:22	 2:1	 3:250	 4:22
0	 1:7	 2:5	 3:1250	 4:52
0	 1:23	 2:1	 3:250	 4:23
0	 1:23	 2:1	 3:250	 4:23
1	 1:11	 2:1	 3:250	 4:11
0	 1:21	 2:6	 3:1500	 4:48
0	 1:23	 2:8	 3:2000	 4:64
0	 1:11	 2:3	 3:750	 4:14
0	 1:4	 2:6	 3:1500	 4:35
1	 1:4	 2:6	 3:1500	 4:35
0	 1:14	 2:7	 3:1750	 4:47
1	 1:11	 2:8	 3:2000	 4:41
0	 1:4	 2:1	 3:250	 4:4
1	 1:7	 2:9	 3:2250	 4:89
0	 1:4	 2:6	 3:1500	 4:43
1	 1:2	 2:12	 3:3000	 4:70
1	 1:0	 2:26	 3:6500	 4:76
0	 1:9	 2:3	 3:750	 4:14
0	 1:16	 2:1	 3:250	 4:16
0	 1:2	 2:1	 3:250	 4:2
0	 1:9	 2:1	 3:250	 4:9
0	 1:13	 2:7	 3:1750	 4:76
0	 1:4	 2:1	 3:250	 4:4
0	 1:2	 2:4	 3:1000	 4:16
0	 1:4	 2:5	 3:1250	 4:34
0	 1:21	 2:1	 3:250	 4:21
1	 1:4	 2:5	 3:1250	 4:33
0	 1:23	 2:2	 3:500	 4:28
1	 1:2	 2:8	 3:2000	 4:28
0	 1:14	 2:2	 3:500	 4:14
0	 1:21	 2:1	 3:250	 4:21
0	 1:2	 2:2	 3:500	 4:14
0	 1:2	 2:11	 3:2750	 4:23
0	 1:4	 2:1	 3:250	 4:4
0	 1:16	 2:8	 3:2000	 4:76
0	 1:13	 2:4	 3:1000	 4:21
1	 1:2	 2:15	 3:3750	 4:49
0	 1:16	 2:8	 3:2000	 4:28
0	 1:14	 2:16	 3:4000	 4:70
0	 1:4	 2:1	 3:250	 4:4
0	 1:4	 2:1	 3:250	 4:4
0	 1:2	 2:1	 3:250	 4:2
1	 1:4	 2:10	 3:2500	 4:28
0	 1:14	 2:5	 3:1250	 4:74
1	 1:2	 2:1	 3:250	 4:2
0	 1:11	 2:5	 3:1250	 4:50
0	 1:2	 2:1	 3:250	 4:2
0	 1:4	 2:4	 3:1000	 4:16
0	 1:14	 2:4	 3:1000	 4:38
0	 1:16	 2:14	 3:3500	 4:83
0	 1:21	 2:1	 3:250	 4:21
0	 1:11	 2:6	 3:1500	 4:58
1	 1:5	 2:7	 3:1750	 4:26
0	 1:16	 2:10	 3:2500	 4:62
0	 1:2	 2:1	 3:250	 4:2
0	 1:23	 2:1	 3:250	 4:23
1	 1:4	 2:12	 3:3000	 4:34
0	 1:21	 2:2	 3:500	 4:52
0	 1:2	 2:2	 3:500	 4:22
0	 1:23	 2:5	 3:1250	 4:58
0	 1:4	 2:5	 3:1250	 4:58
0	 1:23	 2:4	 3:1000	 4:45
0	 1:4	 2:9	 3:2250	 4:52
1	 1:2	 2:13	 3:3250	 4:53
1	 1:3	 2:21	 3:5250	 4:42
0	 1:11	 2:3	 3:750	 4:23
0	 1:4	 2:1	 3:250	 4:4
0	 1:14	 2:7	 3:1750	 4:35
0	 1:4	 2:1	 3:250	 4:4
1	 1:4	 2:8	 3:2000	 4:48
0	 1:14	 2:8	 3:2000	 4:50
0	 1:7	 2:2	 3:500	 4:16
1	 1:2	 2:5	 3:1250	 4:33
0	 1:23	 2:1	 3:250	 4:23
1	 1:2	 2:1	 3:250	 4:2
0	 1:23	 2:1	 3:250	 4:23
0	 1:11	 2:11	 3:2750	 4:42
0	 1:2	 2:6	 3:1500	 4:75
0	 1:2	 2:2	 3:500	 4:11
0	 1:4	 2:2	 3:500	 4:31
0	 1:4	 2:1	 3:250	 4:4
0	 1:21	 2:3	 3:750	 4:35
0	 1:4	 2:8	 3:2000	 4:28
1	 1:4	 2:33	 3:8250	 4:98
0	 1:21	 2:1	 3:250	 4:21
0	 1:4	 2:9	 3:2250	 4:46
0	 1:21	 2:2	 3:500	 4:23
0	 1:2	 2:5	 3:1250	 4:37
0	 1:16	 2:1	 3:250	 4:16
0	 1:16	 2:4	 3:1000	 4:33
0	 1:23	 2:1	 3:250	 4:23
0	 1:2	 2:1	 3:250	 4:2
1	 1:4	 2:6	 3:1500	 4:23
0	 1:11	 2:4	 3:1000	 4:74
0	 1:2	 2:1	 3:250	 4:2
1	 1:21	 2:3	 3:750	 4:26
1	 1:4	 2:9	 3:2250	 4:26
1	 1:2	 2:5	 3:1250	 4:11
0	 1:16	 2:1	 3:250	 4:16
0	 1:18	 2:2	 3:500	 4:23
0	 1:11	 2:12	 3:3000	 4:58
0	 1:4	 2:6	 3:1500	 4:14
0	 1:4	 2:7	 3:1750	 4:58
1	 1:4	 2:7	 3:1750	 4:22
0	 1:16	 2:7	 3:1750	 4:39
0	 1:2	 2:3	 3:750	 4:35
1	 1:4	 2:8	 3:2000	 4:34
0	 1:4	 2:1	 3:250	 4:4
0	 1:11	 2:1	 3:250	 4:11
0	 1:16	 2:7	 3:1750	 4:93
0	 1:4	 2:1	 3:250	 4:4
0	 1:11	 2:3	 3:750	 4:26
0	 1:14	 2:3	 3:750	 4:35
1	 1:2	 2:14	 3:3500	 4:48
0	 1:11	 2:2	 3:500	 4:21
0	 1:14	 2:7	 3:1750	 4:73
1	 1:14	 2:5	 3:1250	 4:28
1	 1:3	 2:10	 3:2500	 4:33
0	 1:16	 2:7	 3:1750	 4:28
1	 1:4	 2:5	 3:1250	 4:14
0	 1:4	 2:7	 3:1750	 4:28
0	 1:2	 2:15	 3:3750	 4:64
1	 1:2	 2:8	 3:2000	 4:35
0	 1:16	 2:3	 3:750	 4:50
0	 1:4	 2:2	 3:500	 4:29
1	 1:4	 2:1	 3:250	 4:4
1	 1:2	 2:2	 3:500	 4:4
1	 1:4	 2:4	 3:1000	 4:43
0	 1:2	 2:16	 3:4000	 4:64
1	 1:4	 2:19	 3:4750	 4:69
0	 1:2	 2:3	 3:750	 4:52
1	 1:2	 2:7	 3:1750	 4:58
0	 1:21	 2:1	 3:250	 4:21
0	 1:14	 2:1	 3:250	 4:14
0	 1:2	 2:5	 3:1250	 4:63
0	 1:1	 2:12	 3:3000	 4:35
0	 1:14	 2:1	 3:250	 4:14
0	 1:23	 2:1	 3:250	 4:23
0	 1:14	 2:5	 3:1250	 4:14
1	 1:2	 2:4	 3:1000	 4:14
0	 1:16	 2:3	 3:750	 4:46
0	 1:16	 2:5	 3:1250	 4:71
0	 1:14	 2:1	 3:250	 4:14
0	 1:11	 2:8	 3:2000	 4:48
1	 1:2	 2:6	 3:1500	 4:15
0	 1:21	 2:2	 3:500	 4:33
0	 1:16	 2:1	 3:250	 4:16
0	 1:2	 2:1	 3:250	 4:2
0	 1:11	 2:1	 3:250	 4:11
0	 1:2	 2:1	 3:250	 4:2
0	 1:12	 2:11	 3:2750	 4:39
0	 1:14	 2:4	 3:1000	 4:40
0	 1:11	 2:11	 3:2750	 4:38
1	 1:11	 2:2	 3:500	 4:38
0	 1:2	 2:2	 3:500	 4:11
0	 1:21	 2:2	 3:500	 4:35
1	 1:4	 2:6	 3:1500	 4:16
0	 1:23	 2:1	 3:250	 4:23
0	 1:10	 2:8	 3:2000	 4:39
0	 1:5	 2:11	 3:2750	 4:75
0	 1:11	 2:1	 3:250	 4:11
0	 1:2	 2:4	 3:1000	 4:43
0	 1:2	 2:12	 3:3000	 4:95
0	 1:11	 2:8	 3:2000	 4:72
1	 1:2	 2:11	 3:2750	 4:79
0	 1:14	 2:1	 3:250	 4:14
0	 1:11	 2:1	 3:250	 4:11
0	 1:4	 2:6	 3:1500	 4:39
0	 1:2	 2:1	 3:250	 4:2
0	 1:6	 2:17	 3:4250	 4:70
0	 1:14	 2:4	 3:1000	 4:26
0	 1:14	 2:18	 3:4500	 4:78
0	 1:72	 2:1	 3:250	 4:72
0	 1:16	 2:1	 3:250	 4:16
0	 1:16	 2:1	 3:250	 4:16
0	 1:4	 2:11	 3:2750	 4:78
1	 1:2	 2:7	 3:1750	 4:14
1	 1:2	 2:2	 3:500	 4:10
0	 1:4	 2:3	 3:750	 4:16
0	 1:11	 2:1	 3:250	 4:11
0	 1:5	 2:24	 3:6000	 4:79
0	 1:4	 2:6	 3:1500	 4:30
0	 1:11	 2:2	 3:500	 4:52
1	 1:21	 2:1	 3:250	 4:21
0	 1:2	 2:5	 3:1250	 4:26
0	 1:2	 2:1	 3:250	 4:2
0	 1:11	 2:2	 3:500	 4:11
1	 1:14	 2:3	 3:750	 4:19
0	 1:0	 2:3	 3:750	 4:4
0	 1:2	 2:6	 3:1500	 4:45
0	 1:2	 2:3	 3:750	 4:14
0	 1:9	 2:2	 3:500	 4:52
0	 1:9	 2:1	 3:250	 4:9
0	 1:2	 2:1	 3:250	 4:2
1	 1:2	 2:6	 3:1500	 4:35
0	 1:14	 2:5	 3:1250	 4:50
0	 1:16	 2:2	 3:500	 4:16
0	 1:11	 2:5	 3:1250	 4:41
0	 1:14	 2:5	 3:1250	 4:28
0	 1:9	 2:2	 3:500	 4:11
0	 1:6	 2:3	 3:750	 4:14
1	 1:2	 2:1	 3:250	 4:2
0	 1:8	 2:15	 3:3750	 4:77
0	 1:12	 2:15	 3:3750	 4:71
1	 1:4	 2:2	 3:500	 4:51
0	 1:14	 2:7	 3:1750	 4:72
0	 1:2	 2:3	 3:750	 4:11
0	 1:4	 2:1	 3:250	 4:4
0	 1:16	 2:1	 3:250	 4:16
0	 1:14	 2:3	 3:750	 4:83
0	 1:11	 2:16	 3:4000	 4:89
0	 1:16	 2:1	 3:250	 4:16
0	 1:4	 2:11	 3:2750	 4:28
0	 1:16	 2:7	 3:1750	 4:38
0	 1:11	 2:3	 3:750	 4:76
1	 1:4	 2:2	 3:500	 4:4
0	 1:7	 2:11	 3:2750	 4:89
0	 1:11	 2:2	 3:500	 4:25
1	 1:2	 2:7	 3:1750	 4:28
1	 1:4	 2:20	 3:5000	 4:69
1	 1:2	 2:10	 3:2500	 4:28
0	 1:14	 2:2	 3:500	 4:14
0	 1:2	 2:1	 3:250	 4:2
0	 1:4	 2:3	 3:750	 4:24
0	 1:23	 2:1	 3:250	 4:23
0	 1:4	 2:5	 3:1250	 4:58
0	 1:23	 2:3	 3:750	 4:40
0	 1:9	 2:5	 3:1250	 4:19
0	 1:23	 2:7	 3:1750	 4:88
0	 1:4	 2:4	 3:1000	 4:46
0	 1:11	 2:9	 3:2250	 4:38
0	 1:23	 2:3	 3:750	 4:28
1	 1:4	 2:6	 3:1500	 4:41
0	 1:14	 2:1	 3:250	 4:14
0	 1:4	 2:2	 3:500	 4:30
0	 1:14	 2:16	 3:4000	 4:98
1	 1:3	 2:5	 3:1250	 4:12
0	 1:2	 2:4	 3:1000	 4:26
0	 1:21	 2:2	 3:500	 4:21
1	 1:9	 2:2	 3:500	 4:16
0	 1:4	 2:1	 3:250	 4:4
1	 1:2	 2:2	 3:500	 4:4
0	 1:21	 2:4	 3:1000	 4:52
0	 1:11	 2:6	 3:1500	 4:28
1	 1:26	 2:5	 3:1250	 4:49
0	 1:16	 2:6	 3:1500	 4:81
1	 1:2	 2:6	 3:1500	 4:41
0	 1:12	 2:9	 3:2250	 4:60
0	 1:1	 2:13	 3:3250	 4:47
0	 1:14	 2:4	 3:1000	 4:26
1	 1:6	 2:2	 3:500	 4:11
0	 1:14	 2:4	 3:1000	 4:64
0	 1:9	 2:9	 3:2250	 4:16
